VendorID,PULocationID,DOLocationID,fareamount,total_amount
2,95,121,null,16.4
2,75,238,null,16.26
2,75,229,null,24.75
2,17,256,null,16.8
2,74,239,null,32.22
2,74,152,null,15
1,74,43,null,10.1
2,196,129,null,19.2
2,7,179,null,14.3
2,74,140,null,22.86
2,196,132,null,43
2,235,136,null,8
2,41,238,null,8.7
2,24,263,null,25.5
2,244,247,null,16
2,223,129,null,17.1
2,166,116,null,10.8
2,74,140,null,26.34
2,34,231,null,46.73
2,24,75,null,63.75
1,75,237,null,19.65
2,74,43,null,11.28
2,166,166,null,6.6
2,41,42,null,12.2
2,42,74,null,11.5
2,82,53,null,31.81
2,166,244,null,28.38
1,74,75,null,11.25
2,95,95,null,11.5
2,74,75,null,11.5
2,74,69,null,24.8
2,74,202,null,44.15
2,97,17,null,15.7
1,41,116,null,14.3
1,74,75,null,10.8
2,65,17,null,20
2,129,260,null,7.3
2,74,234,null,36.65
1,97,124,null,33
2,244,41,null,18.4
1,74,75,null,12.95
2,75,75,null,8.7
1,152,185,null,35
2,166,244,null,19.68
2,95,132,null,38.8
2,74,179,null,23.65
2,74,140,null,26.85
2,82,179,null,17.1
2,43,163,null,22.95
1,74,263,null,27.15
2,75,107,null,42.3
2,166,74,null,17.8
2,74,166,null,15.3
2,74,75,null,12.2
2,75,74,null,12.12
2,43,263,null,18.8
2,43,74,null,13.6
2,74,75,null,8
2,74,166,null,17.68
2,7,223,null,7.3
2,74,41,null,10.1
2,74,137,null,33.15
2,41,41,null,7.6
1,244,116,null,14.2
1,116,239,null,29.7
2,244,116,null,10.88
2,116,43,null,25.75
2,41,159,null,17.8
2,75,141,null,25.5
2,75,141,null,24.66
2,147,159,null,10.1
2,28,173,null,51.4
2,41,113,null,45.85
1,244,161,null,38.05
2,95,260,null,26.2
2,74,263,null,20.46
2,130,130,null,8
2,130,130,null,6.6
2,74,75,null,13.6
2,134,131,null,16.4
2,95,135,null,18.84
2,74,250,null,35.3
2,75,140,null,23.75
2,75,163,null,28.53
2,75,137,null,32.45
2,43,260,null,44.45
2,16,16,null,31.5
2,41,24,null,17.8
2,166,166,null,10.44
2,260,56,null,20.6
2,82,129,null,18.5
2,166,24,null,8.7
2,166,152,null,9.4
2,188,227,null,45.8
1,52,40,null,9
1,33,40,null,14.6
2,69,81,null,43.7
2,97,181,null,23.88
2,22,55,null,70.3
2,95,95,null,11.28
2,95,196,null,10.8
2,43,238,null,15.19
2,43,143,null,26.34
2,166,239,null,22.45
2,166,74,null,16
1,74,237,null,20.85
2,43,237,null,23.06
2,75,74,null,11.28
2,74,42,null,13.6
2,130,121,null,23.4
2,95,186,null,64.2
2,74,42,null,9.4
2,95,216,null,23.88
2,65,189,null,19.68
2,97,17,null,32.5
2,75,238,null,21.07
2,166,24,null,12.12
2,75,42,null,10.8
2,42,247,null,10.8
2,83,138,null,32
2,130,10,null,13.6
2,134,216,null,29.51
2,24,75,null,11.8
2,75,74,null,16.12
2,74,74,null,-7.3
2,74,74,null,7.3
2,43,141,null,27.18
2,74,263,null,28.86
2,244,238,null,32.22
2,166,151,null,8
2,74,42,null,8
1,75,151,null,18
2,95,225,null,61
2,74,41,null,10.44
2,41,152,null,13.7
2,43,238,null,15.42
2,152,24,null,12.2
2,166,236,null,20.41
2,75,243,null,32.5
2,95,95,null,17.8
2,83,82,null,16
2,74,166,null,19.62
2,166,41,null,8
2,74,262,null,19.62
2,74,151,null,16.5
1,75,41,null,10.8
2,92,82,null,22
